dataset,seed,model,lambda,psi,declared,correct,false_links,missing_matches,n_true_records
DBLP,42,bi-encoder / LR,0.007048458149779736,0.0628099173553719,1135,1127,8,76,1210
DBLP,43,bi-encoder / LR,0.0062724014336917565,0.0677257525083612,1116,1109,7,81,1196
DBLP,44,bi-encoder / LR,0.01471861471861472,0.05185185185185185,1155,1138,17,63,1215
DBLP,42,bi-encoder / MEC,0.04257028112449799,0.0049586776859504135,1245,1192,53,6,1210
DBLP,43,bi-encoder / MEC,0.04754230459307011,0.0033444816053511705,1241,1182,59,4,1196
DBLP,44,bi-encoder / MEC,0.038523274478330656,0.0024691358024691358,1246,1198,48,3,1215
DBLP,42,cross-encoder,0.014072847682119206,0.012396694214876033,1208,1191,17,15,1210
DBLP,43,cross-encoder,0.023966942148760332,0.006688963210702341,1210,1181,29,8,1196
DBLP,44,cross-encoder,0.015625,0.009876543209876543,1216,1197,19,12,1215
DBLP,42,string / LR,0.02226027397260274,0.05289256198347107,1168,1142,26,64,1210
DBLP,43,string / LR,0.03151618398637138,0.0451505016722408,1174,1137,37,54,1196
DBLP,44,string / LR,0.026006711409395974,0.03786008230452675,1192,1161,31,46,1215
DBLP,42,string / MEC,0.04552715654952077,0.004132231404958678,1252,1195,57,5,1210
DBLP,43,string / MEC,0.0521669341894061,0.004180602006688963,1246,1181,65,5,1196
DBLP,44,string / MEC,0.04156674660271783,0.0032921810699588477,1251,1199,52,4,1215
ECOM,42,bi-encoder / LR,0.23218997361477572,0.29944547134935307,379,291,88,162,541
ECOM,43,bi-encoder / LR,0.1965065502183406,0.5767097966728281,229,184,45,312,541
ECOM,44,bi-encoder / LR,0.2692307692307692,0.32717190388170053,364,266,98,177,541
ECOM,42,bi-encoder / MEC,0.3193116634799235,0.033271719038817,523,356,167,18,541
ECOM,43,bi-encoder / MEC,0.32815533980582523,0.04805914972273567,515,346,169,26,541
ECOM,44,bi-encoder / MEC,0.3339805825242718,0.04805914972273567,515,343,172,26,541
ECOM,42,cross-encoder,0.04259634888438134,0.08872458410351201,493,472,21,48,541
ECOM,43,cross-encoder,0.0440251572327044,0.11829944547134935,477,456,21,64,541
ECOM,44,cross-encoder,0.03655913978494624,0.14048059149722736,465,448,17,76,541
ECOM,42,string / LR,0.3543046357615894,0.4417744916820702,302,195,107,239,541
ECOM,43,string / LR,0.3302752293577982,0.3955637707948244,327,219,108,214,541
ECOM,44,string / LR,0.33,0.6303142329020333,200,134,66,341,541
ECOM,42,string / MEC,0.4406779661016949,0.12754158964879853,472,264,208,69,541
ECOM,43,string / MEC,0.437636761487965,0.15526802218114602,457,257,200,84,541
ECOM,44,string / MEC,0.46808510638297873,0.13123844731977818,470,250,220,71,541
